Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",7,3,0,15,15,80.1,11.427390956751191,1.568465425436438,0.4481329786961251,0.2887700534759358,0.6772,0.515957446,0.06779661,95.80662278824201,2.800831116850782,2.28,1.997777914651339,2.5647635027641895,3.2838499546051025,"Tarik Skubal",22267,669373
"Eduardo Rodriguez","DET",13,9,0,26,26,152.2,8.430112186831128,2.8296880067684906,0.8842775021151533,0.27427184466019416,0.7595,0.410071942,0.096774193,92.29425636574074,3.301302674563239,4.04,3.6611525132609457,4.062481543299496,3.0005500316619873,"Eduardo Rodriguez",13164,593958
"Michael Lorenzen","DET",5,7,0,18,18,105.2,7.069378342287013,2.299677292069269,0.9369055634356283,0.26440677966101694,0.7212,0.42192691,0.1,94.5579971590909,3.577275787663308,,3.860716206497086,4.228558776588317,1.68927001953125,"Michael Lorenzen",14843,547179
"Jason Foley","DET",3,3,7,70,0,69,7.173913043478261,1.9565217391304348,0.2608695652173913,0.3103448275862069,0.7673,0.570731707,0.041666666,98.14732869466145,2.608695652173913,3.79,2.7333007522251296,3.5066477084505387,1.5220999717712402,"Jason Foley",19531,671345
"Reese Olson","DET",5,7,0,21,18,103.2,8.942119115365385,2.8649507845345408,1.2154336661661687,0.25461254612546125,0.6982,0.428070175,0.134615384,94.83194520043546,3.9935677602602686,4.77,4.007451199810398,3.910493387023606,1.475903034210205,"Reese Olson",24968,681857
"Will Vest","DET",2,1,2,48,4,48.1,10.427578611345414,2.420687891919471,0.5586202827506472,0.29133858267716534,0.7172,0.449612403,0.063829787,95.38250366210937,2.9793081746701184,3.02,2.5515921191961337,3.3524381647480945,1.1569379419088364,"Will Vest",19769,676684
"Tyler Holton","DET",3,2,1,59,1,85.1,7.804690756370741,1.8984382920901801,0.9492191460450901,0.21171171171171171,0.8654,0.45614035,0.111111111,91.57969343805888,2.1093758801002003,3.53,3.559727509785497,3.758027430985516,0.9517742916941643,"Tyler Holton",26231,663947
"Matthew Boyd","DET",5,5,0,15,15,71,9.253521126760564,3.1690140845070425,1.3943661971830985,0.3020833333333333,0.6203,0.388059701,0.126436781,91.64313986449115,5.450704225352113,4.21,4.353631431955687,4.3654864138280844,0.8692860007286072,"Matthew Boyd",15440,571510
"Matt Manning","DET",5,4,0,15,15,78,5.769230769230769,2.423076923076923,1.2692307692307692,0.21397379912663755,0.6941,0.386554621,0.099099099,93.4460063277087,3.576923076923077,5.48,4.806321933941963,5.325836981412692,0.6131280064582825,"Matt Manning",20369,666159
"Sawyer Gipson-Long","DET",1,0,0,4,4,20,11.7,3.6,0.9,0.2608695652173913,0.7813,0.354166666,0.086956521,93.63574829101563,2.7,2.5,3.155039882659912,3.7563957363367084,0.5006729960441589,"Sawyer Gipson-Long",26048,687830
"Alex Faedo","DET",2,5,0,15,12,64.2,8.072160980302781,2.7835037863113037,1.6701022717867824,0.21052631578947367,0.6513,0.362637362,0.142857142,92.96229389084287,4.453606058098086,3.87,4.847822604826936,4.583105904507381,0.4588100016117096,"Alex Faedo",19874,656412
"Miguel Díaz","DET",1,0,0,12,3,14,10.285714285714286,3.2142857142857144,0,0.24242424242424243,0.9231,0.393939393,0,95.20571463448661,0.6428571428571429,2.77,2.040754168374198,3.69410708461489,0.39559198543429375,"Miguel Diaz",18815,622766
"Beau Brieske","DET",2,3,2,25,1,35,7.9714285714285715,3.085714285714286,1.0285714285714285,0.3047619047619048,0.8019,0.425925925,0.102564102,96.67609036353326,3.6,3.85,3.9978970255170556,4.354490275042398,0.2427552044391632,"Beau Brieske",26079,689225
"Chasen Shreve","DET",1,2,0,47,0,41.1,9.145168323800121,2.6129052353714632,1.3064526176857316,0.3277310924369748,0.6855,0.467741935,0.133333333,90.61961388221154,4.790326264847682,,4.053427593467859,3.966352072405961,0.21774999797344208,"Chasen Shreve",10855,592741
"Brendan White","DET",2,3,0,33,2,40.2,9.737697306072278,3.319669536161004,0.8852452096429343,0.3302752293577982,0.6434,0.517857142,0.125,94.4146493544601,5.090159955446873,4.55,3.845203355755202,3.867513829783184,0.19647540338337421,"Brendan White",26024,686839
"Tyler Alexander","DET",2,1,0,25,1,44,9,1.0227272727272727,1.6363636363636365,0.29508196721311475,0.6533,0.3203125,0.125,90.09415127368683,4.5,3.66,4.095948973569003,4.13718957901001,0.11081539839506149,"Tyler Alexander",17735,641302
"Trey Wingenter","DET",1,0,0,17,0,17,11.647058823529411,3.7058823529411766,1.0588235294117647,0.3333333333333333,0.6466,0.431818181,0.111111111,95.96580771169354,5.823529411764706,3.87,3.960922235601089,4.18211944103241,0.05714989826083183,"Trey Wingenter",17793,622259
"Zack Short","DET",0,0,0,6,0,6,1.5,1.5,0,0.41379310344827586,0.7143,0.206896551,0,62.4531005859375,6,9.46,3.9217065493265792,6.952853562434515,0.03451700136065483,"Zack Short",19562,670097
"Jonathan Schoop","DET",0,0,0,1,0,1.1,6.750016696792419,0,0,0.25,1,0.25,0,82.77233378092448,0,26.09,1.755036172261597,4.235071681220511,0.01956859976053238,"Jonathan Schoop",11265,570731
"Braden Bristo","DET",0,0,0,2,0,4,2.25,6.75,0,0.3125,0.625,0.4375,0,,4.5,,5.005039882659912,7.8984074860811235,0.008018589578568935,"Braden Bristo",20494,668754
"Brenan Hanifee","DET",0,0,0,3,0,5,5.4,0,1.8,0.3684210526315789,0.7576,0.55,0.142857142,,5.4,5.16,4.655039882659912,4.369733965396881,-0.012851200066506863,"Brenan Hanifee",22304,669724
"José Cisnero","DET",3,4,2,63,0,59.1,10.617983216908925,3.7921368631817587,1.5168547452727035,0.3375796178343949,0.6835,0.43902439,0.15625,95.97245179063361,5.308991608454463,4.64,4.603355211791204,4.195735667097855,-0.013529499992728233,"Jose Cisnero",6399,542585
"Andrew Vasquez","DET",0,0,0,12,0,8.2,9.346160702456476,9.346160702456476,0,0.3793103448275862,0.5909,0.607142857,0,89.01833089192708,8.307698402183535,,4.985810383114815,5.55812527396891,-0.041167501360177994,"Andrew Vasquez",19482,607755
"Spencer Turnbull","DET",1,4,0,7,7,31,6.967741935483871,4.354838709677419,1.4516129032258065,0.32653061224489793,0.6042,0.485148514,0.151515151,,7.258064516129032,6.16,5.545362463305073,5.208609116077423,-0.04419130086898804,"Spencer Turnbull",16207,605513
"Zach McKinstry","DET",0,0,0,1,0,1,0,0,9,0.4,0.625,0.5,0.5,81.36190359933036,18,28.15,16.25503988265991,6.561745715141297,-0.051891498267650604,"Zach McKinstry",19392,656716
"Carson Kelly","DET",0,0,0,1,0,0.2,13.500014081612017,0,13.500014081612017,0.75,1,0.4,1,58.61538461538461,13.500014081612017,,19.755057093519042,2.7350687146487576,-0.05320600047707558,"Carson Kelly",13620,608348
"Alex Lange","DET",7,5,26,67,0,66,10.772727272727273,6.136363636363637,0.8181818181818182,0.24342105263157895,0.7477,0.506410256,0.125,96.12730994591347,3.6818181818181817,3.98,4.361100488720519,4.381720791441022,-0.0701913982629776,"Alex Lange",19883,656638
"Zach Logue","DET",0,0,0,3,0,11,8.181818181818182,1.6363636363636365,2.4545454545454546,0.29411764705882354,0.5556,0.459459459,0.25,91.04782325634058,7.363636363636363,3.85,5.527767155387185,3.785970336740667,-0.09127119928598404,"Zach Logue",20231,656657
"Anthony Misiewicz","DET",0,0,0,1,0,0.1,0,0,27.000028163224034,0.75,0.3846,0,0.333333333,93.89000447591145,81.0000844896721,,42.25508056287241,18.13523165007567,-0.10053899884223938,"Anthony Misiewicz",18152,664948
"Garrett Hill","DET",0,0,1,9,0,15.2,8.042535893281881,8.042535893281881,2.2978673980805375,0.3191489361702128,0.493,0.44,0.181818181,93.98300908905229,9.19146959232215,5.7,7.659285728980943,6.661868565156809,-0.5441380143165588,"Garrett Hill",25097,682051
"Joey Wentz","DET",3,13,0,25,19,105.2,8.347008628868924,4.0031571995595865,2.1293389359359502,0.32919254658385094,0.6364,0.372832369,0.163398692,93.5346187149751,6.899058152432478,5.74,5.810246605783052,5.128507952219422,-0.6113540083169937,"Joey Wentz",19962,666214
"Mason Englert","DET",4,3,0,31,1,56,6.589289052679697,2.7321442413549963,1.9285724056623506,0.30386740331491713,0.6792,0.375661375,0.16,91.32697477045747,5.464288482709993,6.48,5.594326782120726,5.022924148305091,-0.6912816986441612,"Mason Englert",22288,669438
